Plot Title: 21820136_Pendant1,,,,,
#,"Date Time, GMT+00:00","X Accel, g (LGR S/N: 21820136, SEN S/N: 21820136)","Y Accel, g (LGR S/N: 21820136, SEN S/N: 21820136)","Z Accel, g (LGR S/N: 21820136, SEN S/N: 21820136)",End Of File (LGR S/N: 21820136)
96,11/22/24 01:55:00 AM,-1.025,-0.225,0.25,
97,11/22/24 02:00:00 AM,-0.975,-0.475,0.125,
98,11/22/24 02:05:00 AM,-1,-0.375,0.175,
99,11/22/24 02:10:00 AM,-1.05,-0.325,0.3,
100,11/22/24 02:15:00 AM,-1.125,-0.25,0.25,
101,11/22/24 02:20:00 AM,-1.025,-0.4,0.225,
102,11/22/24 02:25:00 AM,-0.95,-0.275,0.325,
103,11/22/24 02:30:00 AM,-1.05,-0.225,0.225,
104,11/22/24 02:35:00 AM,-1.025,-0.15,0.125,
105,11/22/24 02:40:00 AM,-1.075,-0.275,0.125,
106,11/22/24 02:45:00 AM,-1.05,-0.325,0.1,
107,11/22/24 02:50:00 AM,-1,-0.3,0.125,
108,11/22/24 02:55:00 AM,-0.95,-0.075,0.325,
109,11/22/24 03:00:00 AM,-1.025,-0.275,0.075,
110,11/22/24 03:05:00 AM,-1,-0.2,0.075,
111,11/22/24 03:10:00 AM,-1.025,-0.25,0.125,
112,11/22/24 03:15:00 AM,-1.075,-0.25,0.225,
113,11/22/24 03:20:00 AM,-1.025,-0.35,0.175,
114,11/22/24 03:25:00 AM,-1,-0.225,0.225,
115,11/22/24 03:30:00 AM,-1.025,-0.175,0.125,
116,11/22/24 03:35:00 AM,-1.05,-0.3,0.025,
117,11/22/24 03:40:00 AM,-1.05,-0.225,0.025,
118,11/22/24 03:45:00 AM,-1.025,-0.25,0.075,
119,11/22/24 03:50:00 AM,-1.05,-0.225,0.025,
120,11/22/24 03:55:00 AM,-1.025,-0.2,0.025,
121,11/22/24 04:00:00 AM,-1.025,-0.2,0.025,
122,11/22/24 04:05:00 AM,-1.025,-0.3,0.1,
123,11/22/24 04:10:00 AM,-1.025,-0.425,0.075,
124,11/22/24 04:15:00 AM,-1,-0.425,0.15,
125,11/22/24 04:20:00 AM,-0.975,-0.575,0.3,
126,11/22/24 04:25:00 AM,-1.05,-0.525,0.025,
127,11/22/24 04:30:00 AM,-0.95,-0.575,0.075,
128,11/22/24 04:35:00 AM,-1.025,-0.425,0.275,
129,11/22/24 04:40:00 AM,-1.125,-0.225,0.15,
130,11/22/24 04:45:00 AM,0.275,-0.325,0.2,
131,11/22/24 04:50:00 AM,-0.975,0,0.35,
132,11/22/24 04:55:00 AM,-0.975,-0.3,0.275,
133,11/22/24 05:00:00 AM,-1.025,-0.35,0.1,
134,11/22/24 05:05:00 AM,-1.1,-0.225,0.175,
135,11/22/24 05:10:00 AM,-1,-0.3,0.425,
136,11/22/24 05:15:00 AM,-0.625,-0.2,0.725,
137,11/22/24 05:20:00 AM,-0.625,-0.7,0.4,
138,11/22/24 05:25:00 AM,-1.075,-0.125,0.175,
139,11/22/24 05:30:00 AM,-1.175,-0.175,0.125,
