"","aglaophenia_pluma","aglaophenia_pluma_1","aglaophenia_tubulifera","aglaophenia_tubulifera_1","apolemia_sp","apolemia_sp_1","bougainvillia_muscus","bougainvillia_muscus_1","bougainvillia_muscus_2","bougainvillia_muscus_3","bougainvillia_muscus_4","bougainvillia_muscus_5","clytia_sp_1_sl_2013","clytia_sp_1_sl_2013_1","clytia_sp_1_sl_2013_2","clytia_sp_1_sl_2013_3","clytia_sp_1_sl_2013_4","clytia_sp_2_afc_2016","clytia_sp_2_afc_2016_1","clytia_sp_2_afc_2016_2","clytia_sp_2_afc_2016_3","clytia_sp_2_afc_2016_4","coryne_pintneri","coryne_pintneri_1","dynamena_pumila","ectopleura_larynx","eutima_mira","forskalia_tholoides","garveia_annulata","halecium_sp_bmoo_08734","laodicea_sp_haw02","mitrocomella_brownei","obelia_bidentata","obelia_bidentata_1","obelia_bidentata_2","obelia_bidentata_3","obelia_dichotoma","obelia_dichotoma_1","obelia_dichotoma_2","obelia_dichotoma_3","obelia_sp_3_sl_2013","obelia_sp_mzusp_3356","orthopyxis_crenata","otu_obelia","otu_obelia_bidentata","otu_obelia_dichotoma","pennaria_disticha","rhizorhagium_arenosum","sarsia_tubulosa","sarsia_tubulosa_1","siphonophorae_sp_nhm_339","siphonophorae_sp_nhm_339_1","siphonophorae_sp_nhm_339_2","tiaropsis_multicirrata"
"58",0,0,0,0,0.224441336,0,0,0,0,0,0,0,0,0,0.007589804,0,0.005421288,0.304676403,0,0.004337031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165891422,0,0,0,0,0,0,0.165891422,0,0.165891422,0.123605374,0,0.026022184,0,0,0,0,0
"59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308999614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308999614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023350846,0
"64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023350846,0
"65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029139652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029139652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67",0,0,0,0,0,0,0,0,0,0,0,0.044737169,0,0,0,0,0,0.357897353,0,0,0,0,0,0.007456195,0.044737169,0,0,0,0,0,0,0,0.193861066,0,0,0,0,0,0,0,0,0,0.121784516,0.193861066,0.193861066,0,0,0,0,0,0,0,0.089474338,0
