"Plot Title: 21820136_Pendant1"
"#","Date Time, GMT+00:00","X Accel, g (LGR S/N: 21820136, SEN S/N: 21820136)","Y Accel, g (LGR S/N: 21820136, SEN S/N: 21820136)","Z Accel, g (LGR S/N: 21820136, SEN S/N: 21820136)","End Of File (LGR S/N: 21820136)"
392,11/23/24 02:35:00 AM,-1.050,-0.450,0.075,
393,11/23/24 02:40:00 AM,-0.975,-0.075,-0.125,
394,11/23/24 02:45:00 AM,-1.050,-0.175,-0.250,
395,11/23/24 02:50:00 AM,-1.025,-0.200,-0.075,
396,11/23/24 02:55:00 AM,-1.025,-0.250,-0.025,
397,11/23/24 03:00:00 AM,-1.025,-0.350,-0.075,
398,11/23/24 03:05:00 AM,-1.025,-0.175,-0.025,
399,11/23/24 03:10:00 AM,-1.050,-0.200,-0.175,
400,11/23/24 03:15:00 AM,-1.075,-0.325,-0.025,
401,11/23/24 03:20:00 AM,-1.050,-0.175,-0.075,
402,11/23/24 03:25:00 AM,-0.975,-0.250,-0.025,
403,11/23/24 03:30:00 AM,-1.000,-0.375,-0.025,
404,11/23/24 03:35:00 AM,-1.000,-0.200,-0.250,
405,11/23/24 03:40:00 AM,-0.975,-0.250,-0.325,
406,11/23/24 03:45:00 AM,-1.000,-0.525,-0.025,
407,11/23/24 03:50:00 AM,-1.075,-0.250,-0.150,
